roll_no,name,branch,semester
2ME0876,Student876,CSE,6
3CSE0877,Student877,IT,1
5EEE0878,Student878,ECE,2
1EEE0879,Student879,CSE,6
7ME0880,Student880,CSE,7
4CE0881,Student881,CE,7
8EEE0882,Student882,CSE,5
3CSE0883,Student883,CSE,7
5CE0884,Student884,ECE,3
7CE0885,Student885,CSE,2
1CSE0886,Student886,EEE,4
8IT0887,Student887,CSE,6
7CSE0888,Student888,ME,8
6ME0889,Student889,ECE,5
2ECE0890,Student890,CSE,1
5ECE0891,Student891,ECE,2
8EEE0892,Student892,ME,8
3CE0893,Student893,IT,4
1IT0894,Student894,CSE,7
8IT0895,Student895,IT,3
8IT0896,Student896,IT,4
5CSE0897,Student897,ME,4
3EEE0898,Student898,ECE,3
4ECE0899,Student899,EEE,2
1CE0900,Student900,EEE,1
2ME0901,Student901,ECE,5
6IT0902,Student902,CE,4
7CE0903,Student903,CSE,8
4CSE0904,Student904,CE,8
3IT0905,Student905,EEE,1
4ECE0906,Student906,ECE,2
8ECE0907,Student907,EEE,6
5ME0908,Student908,CSE,7
7IT0909,Student909,EEE,8
8ECE0910,Student910,CE,1
1EEE0911,Student911,CSE,3
8EEE0912,Student912,EEE,1
3CE0913,Student913,ECE,4
8IT0914,Student914,ECE,6
1IT0915,Student915,CSE,4
2CSE0916,Student916,CSE,6
5ME0917,Student917,ME,5
5ME0918,Student918,ME,5
5EEE0919,Student919,IT,4
8CE0920,Student920,CE,4
4CSE0921,Student921,ME,8
2CE0922,Student922,IT,4
4CE0923,Student923,CE,5
8ME0924,Student924,CSE,2
2CSE0925,Student925,CSE,4
7EEE0926,Student926,CE,6
7IT0927,Student927,EEE,5
6ECE0928,Student928,ME,7
5EEE0929,Student929,IT,4
3CSE0930,Student930,IT,5
3EEE0931,Student931,CSE,2
3IT0932,Student932,CSE,4
6CSE0933,Student933,CSE,3
3EEE0934,Student934,CE,5
3EEE0935,Student935,ME,3
6IT0936,Student936,CSE,1
8IT0937,Student937,ME,3
7CSE0938,Student938,IT,5
3ME0939,Student939,EEE,5
3ECE0940,Student940,ME,3
3EEE0941,Student941,EEE,5
2ME0942,Student942,CE,4
8ME0943,Student943,ME,7
4ECE0944,Student944,ECE,8
5CSE0945,Student945,ECE,3
2CSE0946,Student946,ECE,4
4CSE0947,Student947,ECE,8
7IT0948,Student948,CE,1
8IT0949,Student949,ME,5
7ECE0950,Student950,EEE,6
1ME0951,Student951,ME,5
6ME0952,Student952,ECE,3
6ME0953,Student953,EEE,7
2ME0954,Student954,EEE,5
8ECE0955,Student955,ECE,5
5ME0956,Student956,EEE,2
8ECE0957,Student957,EEE,8
7EEE0958,Student958,EEE,1
8CSE0959,Student959,IT,1
2EEE0960,Student960,CE,2
7ECE0961,Student961,IT,7
5CE0962,Student962,CE,6
2EEE0963,Student963,CE,3
3CE0964,Student964,ME,5
8EEE0965,Student965,CSE,6
1CE0966,Student966,CE,6
6ECE0967,Student967,IT,1
4EEE0968,Student968,CE,2
7CE0969,Student969,ECE,5
7ECE0970,Student970,EEE,8
7EEE0971,Student971,ME,1
1EEE0972,Student972,CE,3
3ME0973,Student973,IT,3
4ECE0974,Student974,ME,3
8CE0975,Student975,ME,3
8EEE0976,Student976,CE,6
1EEE0977,Student977,EEE,1
8IT0978,Student978,ME,4
4ECE0979,Student979,ME,8
3EEE0980,Student980,EEE,4
2ECE0981,Student981,ME,8
1ECE0982,Student982,ECE,7
7ME0983,Student983,CSE,4
1IT0984,Student984,EEE,4
2ECE0985,Student985,ME,8
5CE0986,Student986,EEE,1
3EEE0987,Student987,IT,5
5CE0988,Student988,CE,5
1EEE0989,Student989,IT,6
4ECE0990,Student990,CE,2
7EEE0991,Student991,CE,6
3CE0992,Student992,ME,3
8ME0993,Student993,ME,3
3ECE0994,Student994,CE,3
2EEE0995,Student995,CSE,6
1ECE0996,Student996,EEE,2
1IT0997,Student997,CE,1
2CE0998,Student998,CSE,1
2ME0999,Student999,ECE,7
2IT1000,Student1000,ME,,
